RESTAURANT_NAME,DATE,NUM_ORDERS,PERC_DELIVERY
Bryant Park,2018-01-01,373,0.0
Bryant Park,2018-01-02,789,0.0
Bryant Park,2018-01-03,818,0.0
Bryant Park,2018-01-04,782,0.0
Bryant Park,2018-01-05,719,0.0
Bryant Park,2018-01-08,809,0.0
Bryant Park,2018-01-09,857,0.0
Bryant Park,2018-01-10,907,0.0
Bryant Park,2018-01-11,911,0.0
Bryant Park,2018-01-12,892,0.0
Bryant Park,2018-01-15,463,0.0
Bryant Park,2018-01-16,872,0.0
Bryant Park,2018-01-17,859,0.0
Bryant Park,2018-01-18,836,0.0
Bryant Park,2018-01-19,802,0.0
Bryant Park,2018-01-22,898,0.0
Bryant Park,2018-01-23,927,0.0
Bryant Park,2018-01-24,852,0.0
Bryant Park,2018-01-25,854,0.0
Bryant Park,2018-01-26,823,0.0
Bryant Park,2018-01-29,863,0.0
Bryant Park,2018-01-30,829,0.0
Bryant Park,2018-01-31,872,0.0
Bryant Park,2018-02-01,847,0.0
Bryant Park,2018-02-02,796,0.0
Bryant Park,2018-02-05,899,0.0
Bryant Park,2018-02-06,910,0.0
Bryant Park,2018-02-07,835,0.0
Bryant Park,2018-02-08,835,0.0
Bryant Park,2018-02-09,895,0.0
Bryant Park,2018-02-12,898,0.0
Bryant Park,2018-02-13,848,0.0
Bryant Park,2018-02-14,893,0.0
Bryant Park,2018-02-15,900,0.0
Bryant Park,2018-02-16,886,0.0
Bryant Park,2018-02-19,521,0.0
Bryant Park,2018-02-20,924,0.0
Bryant Park,2018-02-21,878,0.0
Bryant Park,2018-02-22,916,0.0
Bryant Park,2018-02-23,861,0.0
Bryant Park,2018-02-26,938,0.0
Bryant Park,2018-02-27,902,0.0
Bryant Park,2018-02-28,907,0.0
Bryant Park,2018-03-01,943,0.0
Bryant Park,2018-03-02,813,0.0
Bryant Park,2018-03-05,833,0.0
Bryant Park,2018-03-06,882,0.0
Bryant Park,2018-03-07,865,0.0
Bryant Park,2018-03-08,872,0.0
Bryant Park,2018-03-09,903,0.0
Bryant Park,2018-03-12,853,0.0
Bryant Park,2018-03-13,861,0.0
Bryant Park,2018-03-14,915,0.0
Bryant Park,2018-03-15,854,0.0
Bryant Park,2018-03-16,863,0.0
Bryant Park,2018-03-19,876,0.0
Bryant Park,2018-03-20,856,0.0
Bryant Park,2018-03-21,847,0.0
Bryant Park,2018-03-22,876,0.0
Bryant Park,2018-03-23,920,0.0
Bryant Park,2018-03-26,919,0.0
Bryant Park,2018-03-27,896,0.0
Bryant Park,2018-03-28,921,0.0
Bryant Park,2018-03-29,921,0.0
Bryant Park,2018-03-30,879,0.0
Bryant Park,2018-04-02,887,0.0
Bryant Park,2018-04-03,829,0.0
Bryant Park,2018-04-04,849,0.0
Bryant Park,2018-04-05,891,0.0
Bryant Park,2018-04-06,846,0.0
Bryant Park,2018-04-09,883,0.0
Bryant Park,2018-04-10,945,0.0
Bryant Park,2018-04-11,918,0.0
Bryant Park,2018-04-12,876,0.0
Bryant Park,2018-04-13,825,0.0
Bryant Park,2018-04-16,829,0.0
Bryant Park,2018-04-17,873,0.0
Bryant Park,2018-04-18,912,0.0
Bryant Park,2018-04-19,873,0.0
Bryant Park,2018-04-20,881,0.0
Bryant Park,2018-04-23,842,0.0
Bryant Park,2018-04-24,907,0.0
Bryant Park,2018-04-25,916,0.0
Bryant Park,2018-04-26,904,0.0
Bryant Park,2018-04-27,904,0.0
Bryant Park,2018-04-30,884,0.0
Bryant Park,2018-05-01,889,0.0899887514060742
Bryant Park,2018-05-02,811,0.1011097410604192
Bryant Park,2018-05-03,790,0.1012658227848101
Bryant Park,2018-05-04,874,0.1270022883295194
Bryant Park,2018-05-07,911,0.0658616904500548
Bryant Park,2018-05-08,921,0.0814332247557003
Bryant Park,2018-05-09,926,0.091792656587473
Bryant Park,2018-05-10,941,0.0988310308182784
Bryant Park,2018-05-11,933,0.0782422293676313
Bryant Park,2018-05-14,905,0.0939226519337016
Bryant Park,2018-05-15,918,0.1013071895424836
Bryant Park,2018-05-16,945,0.0994708994708994
Bryant Park,2018-05-17,973,0.0873586844809866
Bryant Park,2018-05-18,922,0.0954446854663774
Bryant Park,2018-05-21,911,0.1042810098792535
Bryant Park,2018-05-22,933,0.0986066452304394
Bryant Park,2018-05-23,870,0.096551724137931
Bryant Park,2018-05-24,840,0.1119047619047619
Bryant Park,2018-05-25,798,0.0989974937343358
Bryant Park,2018-05-28,493,0.075050709939148
Bryant Park,2018-05-29,837,0.0955794504181601
Bryant Park,2018-05-30,956,0.104602510460251
Bryant Park,2018-05-31,937,0.0907150480256136
Bryant Park,2018-06-01,961,0.1082206035379812
Bryant Park,2018-06-04,951,0.0977917981072555
Bryant Park,2018-06-05,932,0.0976394849785407
Bryant Park,2018-06-06,869,0.0920598388952819
Bryant Park,2018-06-07,891,0.0931537598204265
Bryant Park,2018-06-08,862,0.099767981438515
Bryant Park,2018-06-11,924,0.0952380952380952
Bryant Park,2018-06-12,882,0.0918367346938775
Bryant Park,2018-06-13,882,0.0907029478458049
Bryant Park,2018-06-14,864,0.1018518518518518
Bryant Park,2018-06-15,914,0.1181619256017505
Bryant Park,2018-06-18,744,0.1088709677419354
Bryant Park,2018-06-19,839,0.1227651966626936
Bryant Park,2018-06-20,822,0.1021897810218978
Bryant Park,2018-06-21,827,0.1051995163240628
Bryant Park,2018-06-22,882,0.0782312925170068
Bryant Park,2018-06-25,884,0.1255656108597285
Bryant Park,2018-06-26,904,0.1073008849557522
Bryant Park,2018-06-27,925,0.0972972972972973
Bryant Park,2018-06-28,848,0.1143867924528301
Bryant Park,2018-06-29,806,0.1166253101736972
Bryant Park,2018-07-02,791,0.1150442477876106
Bryant Park,2018-07-03,822,0.1094890510948905
Bryant Park,2018-07-04,440,0.0886363636363636
Bryant Park,2018-07-05,778,0.1079691516709511
Bryant Park,2018-07-06,842,0.1009501187648456
Bryant Park,2018-07-09,800,0.10375
Bryant Park,2018-07-10,791,0.1302149178255373
Bryant Park,2018-07-11,834,0.1043165467625899
Bryant Park,2018-07-12,861,0.0963995354239256
Bryant Park,2018-07-13,865,0.1202312138728323
Bryant Park,2018-07-16,780,0.1025641025641025
Bryant Park,2018-07-17,877,0.1163055872291904
Bryant Park,2018-07-18,831,0.1046931407942238
Bryant Park,2018-07-19,844,0.1101895734597156
Bryant Park,2018-07-20,824,0.1043689320388349
Bryant Park,2018-07-23,802,0.0947630922693266
Bryant Park,2018-07-24,825,0.0969696969696969
Bryant Park,2018-07-25,851,0.1151586368977673
Bryant Park,2018-07-26,836,0.0944976076555023
Bryant Park,2018-07-27,872,0.1146788990825688
Bryant Park,2018-07-30,871,0.1067738231917336
Bryant Park,2018-07-31,799,0.0951188986232791
Bryant Park,2018-08-01,756,0.1031746031746031
Bryant Park,2018-08-02,811,0.1097410604192355
Bryant Park,2018-08-03,805,0.1031055900621118
Bryant Park,2018-08-06,765,0.1032679738562091
Bryant Park,2018-08-07,780,0.0948717948717948
Bryant Park,2018-08-08,846,0.1146572104018912
Bryant Park,2018-08-09,753,0.1035856573705179
Bryant Park,2018-08-10,808,0.1126237623762376
Bryant Park,2018-08-13,873,0.0996563573883161
Bryant Park,2018-08-14,864,0.1284722222222222
Bryant Park,2018-08-15,772,0.116580310880829
Bryant Park,2018-08-16,788,0.0964467005076142
Bryant Park,2018-08-17,819,0.0891330891330891
Bryant Park,2018-08-20,859,0.0919674039580908
Bryant Park,2018-08-21,903,0.1052048726467331
Bryant Park,2018-08-22,816,0.0931372549019607
Bryant Park,2018-08-23,853,0.1137162954279015
Bryant Park,2018-08-24,838,0.1181384248210023
Bryant Park,2018-08-27,823,0.1130012150668286
Bryant Park,2018-08-28,770,0.0935064935064935
Bryant Park,2018-08-29,757,0.1215323645970938
Bryant Park,2018-08-30,814,0.1154791154791154
Bryant Park,2018-08-31,861,0.0905923344947735
Bryant Park,2018-09-03,431,0.111368909512761
Bryant Park,2018-09-04,812,0.0997536945812807
Bryant Park,2018-09-05,848,0.1061320754716981
Bryant Park,2018-09-06,796,0.121859296482412
Bryant Park,2018-09-07,917,0.0926935659760087
Bryant Park,2018-09-10,953,0.0902413431269674
Bryant Park,2018-09-11,910,0.0912087912087912
Bryant Park,2018-09-12,957,0.1086729362591431
Bryant Park,2018-09-13,888,0.0912162162162162
Bryant Park,2018-09-14,861,0.0952380952380952
Bryant Park,2018-09-17,827,0.0955259975816203
Bryant Park,2018-09-18,894,0.1286353467561521
Bryant Park,2018-09-19,900,0.0888888888888888
Bryant Park,2018-09-20,891,0.095398428731762
Bryant Park,2018-09-21,931,0.0988184747583243
Bryant Park,2018-09-24,922,0.0835140997830802
Bryant Park,2018-09-25,953,0.1196222455403987
Bryant Park,2018-09-26,846,0.1158392434988179
Bryant Park,2018-09-27,906,0.0960264900662251
Bryant Park,2018-09-28,938,0.0959488272921108
Bryant Park,2018-10-01,889,0.0978627671541057
Bryant Park,2018-10-02,881,0.0953461975028376
Bryant Park,2018-10-03,932,0.0890557939914163
Bryant Park,2018-10-04,892,0.100896860986547
Bryant Park,2018-10-05,927,0.0765911542610571
Bryant Park,2018-10-08,478,0.0899581589958159
Bryant Park,2018-10-09,953,0.1038824763903462
Bryant Park,2018-10-10,956,0.0920502092050209
Bryant Park,2018-10-11,976,0.1475409836065573
Bryant Park,2018-10-12,994,0.0915492957746478
Bryant Park,2018-10-15,948,0.0770042194092827
Bryant Park,2018-10-16,961,0.0998959417273673
Bryant Park,2018-10-17,993,0.0896273917421953
Bryant Park,2018-10-18,957,0.0877742946708464
Bryant Park,2018-10-19,931,0.0902255639097744
Bryant Park,2018-10-22,1003,0.0847457627118644
Bryant Park,2018-10-23,993,0.0966767371601208
Bryant Park,2018-10-24,942,0.0774946921443736
Bryant Park,2018-10-25,1002,0.0888223552894211
Bryant Park,2018-10-26,937,0.1099252934898612
Bryant Park,2018-10-29,1027,0.0925024342745861
Bryant Park,2018-10-30,975,0.0861538461538461
Bryant Park,2018-10-31,1001,0.0709290709290709
Bryant Park,2018-11-01,890,0.0831460674157303
Bryant Park,2018-11-02,903,0.0996677740863787
Bryant Park,2018-11-05,930,0.0903225806451612
Bryant Park,2018-11-06,930,0.1301075268817204
Bryant Park,2018-11-07,911,0.0911086717892425
Bryant Park,2018-11-08,915,0.0754098360655737
Bryant Park,2018-11-09,886,0.1252821670428894
Bryant Park,2018-11-12,512,0.08984375
Bryant Park,2018-11-13,918,0.0904139433551198
Bryant Park,2018-11-14,879,0.1137656427758816
Bryant Park,2018-11-15,887,0.1386696730552424
Bryant Park,2018-11-16,938,0.0938166311300639
Bryant Park,2018-11-19,988,0.0961538461538461
Bryant Park,2018-11-20,947,0.1003167898627244
Bryant Park,2018-11-21,868,0.1175115207373272
Bryant Park,2018-11-22,457,0.1159737417943107
Bryant Park,2018-11-23,884,0.1334841628959276
Bryant Park,2018-11-26,902,0.1108647450110864
Bryant Park,2018-11-27,912,0.0888157894736842
Bryant Park,2018-11-28,919,0.1109902067464635
Bryant Park,2018-11-29,870,0.1068965517241379
Bryant Park,2018-11-30,884,0.1199095022624434
Bryant Park,2018-12-03,954,0.0849056603773584
Bryant Park,2018-12-04,987,0.1175278622087132
Bryant Park,2018-12-05,983,0.1230925737538148
Bryant Park,2018-12-06,972,0.1049382716049382
Bryant Park,2018-12-07,990,0.1151515151515151
Bryant Park,2018-12-10,1021,0.118511263467189
Bryant Park,2018-12-11,1053,0.1016144349477682
Bryant Park,2018-12-12,1003,0.1146560319042871
Bryant Park,2018-12-13,955,0.0806282722513089
Bryant Park,2018-12-14,1005,0.081592039800995
Bryant Park,2018-12-17,1055,0.0843601895734597
Bryant Park,2018-12-18,966,0.1107660455486542
Bryant Park,2018-12-19,976,0.1014344262295082
Bryant Park,2018-12-20,992,0.0887096774193548
Bryant Park,2018-12-21,1015,0.10935960591133
Bryant Park,2018-12-24,1033,0.1035818005808325
Bryant Park,2018-12-25,532,0.0958646616541353
Bryant Park,2018-12-26,936,0.1004273504273504
Bryant Park,2018-12-27,1019,0.1040235525024533
Bryant Park,2018-12-28,1015,0.1162561576354679
Bryant Park,2018-12-31,969,0.1331269349845201
Columbia,2018-01-01,519,0.1579961464354528
Columbia,2018-01-02,547,0.1261425959780621
Columbia,2018-01-03,532,0.1240601503759398
Columbia,2018-01-04,502,0.1533864541832669
Columbia,2018-01-05,477,0.1781970649895178
Columbia,2018-01-06,476,0.1869747899159664
Columbia,2018-01-07,494,0.1558704453441295
Columbia,2018-01-08,565,0.1132743362831858
Columbia,2018-01-09,595,0.1058823529411764
Columbia,2018-01-10,591,0.0879864636209813
Columbia,2018-01-11,662,0.0785498489425981
Columbia,2018-01-12,666,0.081081081081081
Columbia,2018-01-13,636,0.1588050314465408
Columbia,2018-01-14,618,0.1116504854368932
Columbia,2018-01-15,701,0.1383737517831669
Columbia,2018-01-16,737,0.1248303934871099
Columbia,2018-01-17,694,0.1412103746397694
Columbia,2018-01-18,704,0.1548295454545454
Columbia,2018-01-19,774,0.1330749354005168
Columbia,2018-01-20,669,0.0717488789237668
Columbia,2018-01-21,745,0.123489932885906
Columbia,2018-01-22,752,0.1329787234042553
Columbia,2018-01-23,767,0.1251629726205997
Columbia,2018-01-24,705,0.1177304964539007
Columbia,2018-01-25,700,0.1314285714285714
Columbia,2018-01-26,710,0.0943661971830985
Columbia,2018-01-27,780,0.0961538461538461
Columbia,2018-01-28,737,0.0814111261872456
Columbia,2018-01-29,722,0.0831024930747922
Columbia,2018-01-30,736,0.1290760869565217
Columbia,2018-01-31,783,0.1200510855683269
Columbia,2018-02-01,806,0.1017369727047146
Columbia,2018-02-02,754,0.1326259946949602
Columbia,2018-02-03,687,0.1106259097525473
Columbia,2018-02-04,785,0.1439490445859872
Columbia,2018-02-05,794,0.1183879093198992
Columbia,2018-02-06,793,0.1134930643127364
Columbia,2018-02-07,770,0.1714285714285714
Columbia,2018-02-08,781,0.1600512163892445
Columbia,2018-02-09,763,0.0930537352555701
Columbia,2018-02-10,782,0.1214833759590792
Columbia,2018-02-11,770,0.0948051948051948
Columbia,2018-02-12,780,0.0807692307692307
Columbia,2018-02-13,760,0.1223684210526315
Columbia,2018-02-14,803,0.0797011207970112
Columbia,2018-02-15,776,0.1030927835051546
Columbia,2018-02-16,783,0.0830140485312899
Columbia,2018-02-17,830,0.1024096385542168
Columbia,2018-02-18,786,0.1081424936386768
Columbia,2018-02-19,790,0.0924050632911392
Columbia,2018-02-20,770,0.0844155844155844
Columbia,2018-02-21,778,0.0964010282776349
Columbia,2018-02-22,762,0.1049868766404199
Columbia,2018-02-23,764,0.1020942408376963
Columbia,2018-02-24,798,0.0839598997493734
Columbia,2018-02-25,791,0.09102402022756
Columbia,2018-02-26,788,0.0774111675126903
Columbia,2018-02-27,770,0.0792207792207792
Columbia,2018-02-28,828,0.0797101449275362
Columbia,2018-03-01,783,0.070242656449553
Columbia,2018-03-02,765,0.1333333333333333
Columbia,2018-03-03,804,0.0820895522388059
Columbia,2018-03-04,785,0.1197452229299363
Columbia,2018-03-05,745,0.1020134228187919
Columbia,2018-03-06,819,0.1037851037851037
Columbia,2018-03-07,743,0.1251682368775235
Columbia,2018-03-08,767,0.105606258148631
Columbia,2018-03-09,751,0.1065246338215712
Columbia,2018-03-10,757,0.1096433289299868
Columbia,2018-03-11,833,0.0804321728691476
Columbia,2018-03-12,756,0.0912698412698412
Columbia,2018-03-13,740,0.1067567567567567
Columbia,2018-03-14,742,0.0997304582210242
Columbia,2018-03-15,820,0.1158536585365853
Columbia,2018-03-16,708,0.1087570621468926
Columbia,2018-03-17,800,0.0875
Columbia,2018-03-18,744,0.0927419354838709
Columbia,2018-03-19,751,0.0945406125166444
Columbia,2018-03-20,778,0.1066838046272493
Columbia,2018-03-21,793,0.1525851197982345
Columbia,2018-03-22,754,0.0742705570291777
Columbia,2018-03-23,773,0.0840879689521345
Columbia,2018-03-24,764,0.0746073298429319
Columbia,2018-03-25,735,0.1074829931972789
Columbia,2018-03-26,742,0.1010781671159029
Columbia,2018-03-27,804,0.0746268656716417
Columbia,2018-03-28,808,0.094059405940594
Columbia,2018-03-29,765,0.0862745098039215
Columbia,2018-03-30,772,0.0867875647668393
Columbia,2018-03-31,813,0.087330873308733
Columbia,2018-04-01,742,0.0889487870619946
Columbia,2018-04-02,806,0.1066997518610421
Columbia,2018-04-03,733,0.1009549795361528
Columbia,2018-04-04,801,0.0861423220973782
Columbia,2018-04-05,787,0.0927573062261753
Columbia,2018-04-06,756,0.078042328042328
Columbia,2018-04-07,763,0.0851900393184796
Columbia,2018-04-08,752,0.089095744680851
Columbia,2018-04-09,759,0.0882740447957839
Columbia,2018-04-10,784,0.0841836734693877
Columbia,2018-04-11,770,0.0779220779220779
Columbia,2018-04-12,735,0.0789115646258503
Columbia,2018-04-13,733,0.0859481582537517
Columbia,2018-04-14,748,0.0695187165775401
Columbia,2018-04-15,747,0.1204819277108433
Columbia,2018-04-16,743,0.0807537012113055
Columbia,2018-04-17,765,0.0928104575163398
Columbia,2018-04-18,787,0.0940279542566709
Columbia,2018-04-19,772,0.0958549222797927
Columbia,2018-04-20,781,0.056338028169014
